media_item_id,create_time,mime_type,source_filename,target_file,status,notes
AGpyBSb2OUEZm-7m2bzwc2x5EWs4bDDos83kI2kmNYK26cq-EdAuYIomkYpEIlFkxHdDE1YFR87uMtrRyu1zGuHp1KDdhu3qng,2026-07-22T20:51:00.325Z,image/jpeg,20260723_015100.jpg,20260723_015100_gp_Ddhu3qng.jpg,downloaded,
AGpyBSaLWoSawemWN-VGdfWtmjCbqfQ19W2alTtI0YDqwmhJ8WAdEHsEksvKv1Y8LTMJmXfnnAmE6rydvNQzo4B9QW4a43AawA,2026-07-22T20:51:10.080Z,image/jpeg,20260723_015109.jpg,20260723_015110_gp_4a43AawA.jpg,downloaded,
AGpyBSaAY7YEFZXR2A14K0FrlR-t4GGzI3iDY1W8iyFn4a6ALbqt4GTIQ2qygtDARhmjJSSAbizFJCL-1ck3pB2f_gVKMKGb_w,2026-07-22T20:51:04.548Z,image/jpeg,20260723_015104.jpg,20260723_015104_gp_gVKMKGbw.jpg,downloaded,
AGpyBSbbqT1E9A69LhoEnDY-rVqKm6UVOLxfmYmazw50z9pyaTNpYvHV_wiA5K5ShfHfH0Y9avL0HLPqpnACiQPyGqopK7-wmw,2026-07-22T20:50:54.048Z,image/jpeg,20260723_015053.jpg,20260723_015054_gp_qopK7wmw.jpg,downloaded,
AGpyBSamr7Bhx13Hk5hwQ5acERsbXQpQtcjLfMcbmA-IoCRjHwN82GUG-l5WxBuu3Vy3yjkryUJja3CCjdc6TZ_nMf6p0esrng,2026-07-22T20:50:49.417Z,image/jpeg,20260723_015049.jpg,20260723_015049_gp_6p0esrng.jpg,downloaded,
AGpyBSYJzGlVA_og_1gwnPVCyI6dVCiKcZVDM5BzWhXtuYBET-z7auotaSReW6fruUou3zbEHNAC2ntn9pHq6TIXIDKwkjc7bg,2026-07-22T21:49:50.054Z,image/jpeg,20260723_024949.jpg,20260723_024950_gp_Kwkjc7bg.jpg,downloaded,
AGpyBSYNAuzkLJ35o_UgznC-TVFI4kZaZbVppCFsIwsnaziQk7nu0x286mHyl_QvyiHcwou73NMXFavguKEsOPFz6UXyosHiqg,2026-07-22T21:49:40.037Z,image/jpeg,20260723_024939.jpg,20260723_024940_gp_XyosHiqg.jpg,downloaded,
