media_id,file_name,relative_path,captured_date,captured_time,media_type,component_group,specific_component,stage,observed_state,confidence,tags,notes
20260317_235232_gp_3Ojs4Rag,20260317_235232_gp_3Ojs4Rag.jpg,photos/20260317_235232_gp_3Ojs4Rag.jpg,2026-03-17,23:52:32,photo,engine_bay,engine_bay_overview,baseline_walkaround,assembled,high,engine|bay|baseline,
20260319_182448,20260319_182448.jpg,photos/20260319_182448.jpg,2026-03-19,18:24:48,photo,removable_panels,detached_doors_and_panels,removed_parts_cataloguing,removed_from_vehicle,high,doors|removed|storage,
20260319_182449_gp_ttDAl3iw,20260319_182449_gp_ttDAl3iw.jpg,photos/20260319_182449_gp_ttDAl3iw.jpg,2026-03-19,18:24:49,photo,removable_panels,detached_doors_and_panels,removed_parts_cataloguing,removed_from_vehicle,high,doors|removed|storage,
20260320_191834,20260320_191834.jpg,photos/20260320_191834.jpg,2026-03-20,19:18:34,photo,electrical_system,firewall_and_dash_wiring,electrical_rework,under_rework,high,wiring|firewall|dash,
20260320_191837_gp_tmpBN7rA,20260320_191837_gp_tmpBN7rA.jpg,photos/20260320_191837_gp_tmpBN7rA.jpg,2026-03-20,19:18:37,photo,electrical_system,firewall_and_dash_wiring,electrical_rework,under_rework,high,wiring|firewall|dash,
20260320_191846,20260320_191846.jpg,photos/20260320_191846.jpg,2026-03-20,19:18:46,photo,electrical_system,firewall_and_dash_wiring,electrical_rework,under_rework,high,wiring|firewall|dash,
20260320_191848_gp_1zuoDRhw,20260320_191848_gp_1zuoDRhw.jpg,photos/20260320_191848_gp_1zuoDRhw.jpg,2026-03-20,19:18:48,photo,electrical_system,firewall_and_dash_wiring,electrical_rework,under_rework,high,wiring|firewall|dash,
20260320_192143,20260320_192143.jpg,photos/20260320_192143.jpg,2026-03-20,19:21:43,photo,electrical_system,firewall_and_dash_wiring,electrical_rework,under_rework,high,wiring|firewall|dash,
20260320_192145_gp_VGtn7lYA,20260320_192145_gp_VGtn7lYA.jpg,photos/20260320_192145_gp_VGtn7lYA.jpg,2026-03-20,19:21:45,photo,electrical_system,firewall_and_dash_wiring,electrical_rework,under_rework,high,wiring|firewall|dash,
20260320_192148,20260320_192148.jpg,photos/20260320_192148.jpg,2026-03-20,19:21:48,photo,electrical_system,firewall_and_dash_wiring,electrical_rework,under_rework,high,wiring|firewall|dash,
