file_name,relative_path,component_group,stage,confidence,decision,reason,target_relative_path
20260320_192155_gp_3LEXqF6g.jpg,photos/20260320_192155_gp_3LEXqF6g.jpg,electrical_system,electrical_rework,high,keep,keyword_car_match,
20260321_235436.jpg,photos/20260321_235436.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260321_235439_gp_K6PYqo5A.jpg,photos/20260321_235439_gp_K6PYqo5A.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260321_235441.jpg,photos/20260321_235441.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260321_235441_exported_1774186863455.jpg,photos/20260321_235441_exported_1774186863455.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260321_235444_gp_wQoX9Mug.jpg,photos/20260321_235444_gp_wQoX9Mug.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260321_235444_gp_zOybRRYA.jpg,photos/20260321_235444_gp_zOybRRYA.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260321_235501.jpg,photos/20260321_235501.jpg,engine_bay,stripdown_cataloguing,high,keep,keyword_car_match,
20260321_235600.jpg,photos/20260321_235600.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260321_235605.jpg,photos/20260321_235605.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_180218.jpg,photos/20260323_180218.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_180220_gp_R3uBBhUw.jpg,photos/20260323_180220_gp_R3uBBhUw.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_180314.jpg,photos/20260323_180314.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_180316_gp_65cSGRyQ.jpg,photos/20260323_180316_gp_65cSGRyQ.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_185920.jpg,photos/20260323_185920.jpg,engine_bay,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_185922_gp_XWQyq7dw.jpg,photos/20260323_185922_gp_XWQyq7dw.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_185947.jpg,photos/20260323_185947.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
20260323_185949_gp_bRW3C2Ng.jpg,photos/20260323_185949_gp_bRW3C2Ng.jpg,interior_cabin,stripdown_cataloguing,high,keep,keyword_car_match,
